age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
33;management;single;tertiary;no;335;no;no;cellular;29;aug;130;4;-1;0;unknown;no
28;technician;single;secondary;no;618;yes;no;cellular;7;may;281;1;-1;0;unknown;no
29;technician;single;tertiary;no;2325;no;no;cellular;2;feb;125;1;-1;0;unknown;yes
36;technician;married;secondary;no;5902;yes;no;unknown;23;may;219;4;-1;0;unknown;no
27;management;single;tertiary;no;390;no;no;cellular;28;oct;190;1;82;1;success;no
42;services;divorced;secondary;no;257;yes;no;cellular;12;may;955;2;-1;0;unknown;yes
38;management;married;tertiary;no;950;no;no;cellular;5;aug;210;2;-1;0;unknown;no
33;technician;divorced;tertiary;no;-386;yes;no;unknown;23;may;530;1;-1;0;unknown;no
33;admin.;married;tertiary;no;69;no;yes;cellular;4;may;77;2;-1;0;unknown;no
57;blue-collar;married;primary;no;93;yes;no;telephone;17;apr;137;1;-1;0;unknown;no
45;blue-collar;single;primary;yes;-183;no;yes;cellular;15;jul;395;4;-1;0;unknown;no
50;admin.;divorced;secondary;no;202;no;yes;cellular;17;nov;148;1;-1;0;unknown;no
46;technician;married;tertiary;no;342;yes;yes;cellular;5;may;84;1;-1;0;unknown;no
38;admin.;married;secondary;no;3732;yes;no;unknown;21;may;379;2;-1;0;unknown;no
59;blue-collar;divorced;secondary;no;3573;no;no;cellular;15;may;44;1;-1;0;unknown;no
39;self-employed;married;secondary;no;266;no;no;cellular;11;may;102;2;-1;0;unknown;no
50;housemaid;single;unknown;no;0;no;no;telephone;28;jul;118;8;-1;0;unknown;no
48;management;married;primary;no;3230;yes;no;telephone;20;nov;207;3;-1;0;unknown;no
51;self-employed;married;tertiary;no;833;no;no;cellular;31;jul;77;3;-1;0;unknown;no
46;management;single;secondary;no;295;yes;no;unknown;23;may;141;6;-1;0;unknown;no
34;entrepreneur;married;secondary;no;456;yes;yes;cellular;28;aug;137;8;-1;0;unknown;no
40;services;single;secondary;no;888;yes;no;unknown;12;may;169;2;-1;0;unknown;no
54;management;married;primary;no;3859;no;yes;cellular;20;nov;104;3;-1;0;unknown;no
69;retired;married;primary;no;279;no;no;telephone;12;aug;26;1;-1;0;unknown;no
28;management;single;tertiary;no;80;no;no;cellular;20;oct;676;2;146;2;failure;yes
55;services;divorced;primary;no;2923;yes;no;unknown;15;may;104;2;-1;0;unknown;no
54;services;married;secondary;no;88;yes;no;unknown;13;may;190;1;-1;0;unknown;no
39;technician;married;secondary;no;501;no;no;unknown;26;may;289;1;-1;0;unknown;no
40;management;married;tertiary;no;-495;no;yes;cellular;29;jul;303;2;-1;0;unknown;no
40;blue-collar;married;secondary;no;0;yes;yes;unknown;29;may;245;3;-1;0;unknown;no
27;services;single;secondary;no;0;yes;no;unknown;7;may;388;7;-1;0;unknown;no
47;technician;married;secondary;no;-75;yes;no;cellular;4;feb;57;1;247;1;other;no
36;services;married;secondary;no;257;yes;no;cellular;12;may;86;2;-1;0;unknown;no
47;technician;divorced;tertiary;no;477;yes;no;telephone;7;may;973;1;366;1;failure;no
30;admin.;married;secondary;no;122;yes;no;unknown;16;may;107;1;-1;0;unknown;no
32;technician;single;tertiary;no;2204;yes;no;cellular;21;nov;11;4;-1;0;unknown;no
31;services;single;secondary;no;0;yes;no;unknown;28;may;231;2;-1;0;unknown;no
48;blue-collar;married;secondary;no;841;yes;no;unknown;19;may;215;1;-1;0;unknown;no
37;management;divorced;secondary;no;1287;yes;no;cellular;14;may;432;1;-1;0;unknown;no
53;admin.;married;secondary;no;1796;no;no;telephone;16;mar;295;1;91;2;success;yes
27;technician;single;secondary;no;282;no;yes;cellular;9;jul;676;5;-1;0;unknown;no
45;management;married;tertiary;no;5450;no;no;cellular;8;aug;188;2;-1;0;unknown;no
31;blue-collar;divorced;secondary;no;6;yes;no;cellular;29;jan;821;1;-1;0;unknown;no
34;technician;married;secondary;no;-346;no;no;cellular;13;aug;136;4;-1;0;unknown;no
